FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352843013.tiff,cfc_capture_1719352843013_tiff,1719352843013,24,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352846350.tiff,cfc_capture_1719352846350_tiff,1719352846350,20,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352849578.tiff,cfc_capture_1719352849578_tiff,1719352849578,16,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352852840.tiff,cfc_capture_1719352852840_tiff,1719352852840,12,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352856179.tiff,cfc_capture_1719352856179_tiff,1719352856179,10,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352859427.tiff,cfc_capture_1719352859427_tiff,1719352859427,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352862712.tiff,cfc_capture_1719352862712_tiff,1719352862712,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352865976.tiff,cfc_capture_1719352865976_tiff,1719352865976,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352869199.tiff,cfc_capture_1719352869199_tiff,1719352869199,9,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352872456.tiff,cfc_capture_1719352872456_tiff,1719352872456,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352875732.tiff,cfc_capture_1719352875732_tiff,1719352875732,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352878987.tiff,cfc_capture_1719352878987_tiff,1719352878987,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352882312.tiff,cfc_capture_1719352882312_tiff,1719352882312,9,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352885632.tiff,cfc_capture_1719352885632_tiff,1719352885632,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352888940.tiff,cfc_capture_1719352888940_tiff,1719352888940,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352892240.tiff,cfc_capture_1719352892240_tiff,1719352892240,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352895532.tiff,cfc_capture_1719352895532_tiff,1719352895532,9,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352898851.tiff,cfc_capture_1719352898851_tiff,1719352898851,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352902149.tiff,cfc_capture_1719352902149_tiff,1719352902149,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352905422.tiff,cfc_capture_1719352905422_tiff,1719352905422,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352908652.tiff,cfc_capture_1719352908652_tiff,1719352908652,9,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352911936.tiff,cfc_capture_1719352911936_tiff,1719352911936,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352915153.tiff,cfc_capture_1719352915153_tiff,1719352915153,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352918425.tiff,cfc_capture_1719352918425_tiff,1719352918425,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352921713.tiff,cfc_capture_1719352921713_tiff,1719352921713,9,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352924936.tiff,cfc_capture_1719352924936_tiff,1719352924936,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352928231.tiff,cfc_capture_1719352928231_tiff,1719352928231,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352931468.tiff,cfc_capture_1719352931468_tiff,1719352931468,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352934762.tiff,cfc_capture_1719352934762_tiff,1719352934762,9,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352938065.tiff,cfc_capture_1719352938065_tiff,1719352938065,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352941366.tiff,cfc_capture_1719352941366_tiff,1719352941366,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719352944616.tiff,cfc_capture_1719352944616_tiff,1719352944616,9,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355388537.tiff,cfc_capture_1719355388537_tiff,1719355388537,11,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355391812.tiff,cfc_capture_1719355391812_tiff,1719355391812,7,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355395071.tiff,cfc_capture_1719355395071_tiff,1719355395071,7,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355398347.tiff,cfc_capture_1719355398347_tiff,1719355398347,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355401822.tiff,cfc_capture_1719355401822_tiff,1719355401822,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355405068.tiff,cfc_capture_1719355405068_tiff,1719355405068,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355408428.tiff,cfc_capture_1719355408428_tiff,1719355408428,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355411689.tiff,cfc_capture_1719355411689_tiff,1719355411689,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355415011.tiff,cfc_capture_1719355415011_tiff,1719355415011,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355418240.tiff,cfc_capture_1719355418240_tiff,1719355418240,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355421527.tiff,cfc_capture_1719355421527_tiff,1719355421527,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355424763.tiff,cfc_capture_1719355424763_tiff,1719355424763,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355428065.tiff,cfc_capture_1719355428065_tiff,1719355428065,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355431355.tiff,cfc_capture_1719355431355_tiff,1719355431355,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355434699.tiff,cfc_capture_1719355434699_tiff,1719355434699,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355437995.tiff,cfc_capture_1719355437995_tiff,1719355437995,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355441246.tiff,cfc_capture_1719355441246_tiff,1719355441246,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355444519.tiff,cfc_capture_1719355444519_tiff,1719355444519,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355447780.tiff,cfc_capture_1719355447780_tiff,1719355447780,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355450996.tiff,cfc_capture_1719355450996_tiff,1719355450996,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355454296.tiff,cfc_capture_1719355454296_tiff,1719355454296,8,4
